,4b. close (USD)
2021-06-12,0.31568000
2021-06-11,0.31870000
2021-06-10,0.32606000
2021-06-09,0.34318000
2021-06-08,0.32586000
2021-06-07,0.33146000
2021-06-06,0.37143000
2021-06-05,0.37130000
2021-06-04,0.37628000
2021-06-03,0.40078000
2021-06-02,0.42338000
2021-06-01,0.37006000
2021-05-31,0.32557000
2021-05-30,0.30179000
2021-05-29,0.30280000
2021-05-28,0.31123000
2021-05-27,0.33403000
2021-05-26,0.35284000
2021-05-25,0.34598000
2021-05-24,0.36589000
2021-05-23,0.30633000
2021-05-22,0.34199000
2021-05-21,0.35778000
2021-05-20,0.39758000
2021-05-19,0.32945000
2021-05-18,0.47574000
2021-05-17,0.48750000
2021-05-16,0.51370000
2021-05-15,0.50855000
2021-05-14,0.55971000
2021-05-13,0.48945000
2021-05-12,0.39160000
2021-05-11,0.49326000
2021-05-10,0.45074000
2021-05-09,0.57063000
2021-05-08,0.63708000
2021-05-07,0.68982000
2021-05-06,0.58106000
2021-05-05,0.65400000
2021-05-04,0.53854000
2021-05-03,0.44142000
2021-05-02,0.37397000
2021-05-01,0.39087000
2021-04-30,0.33746000
2021-04-29,0.30479000
2021-04-28,0.32311000
2021-04-27,0.27232000
2021-04-26,0.27161000
2021-04-25,0.25159000
2021-04-24,0.27000000
2021-04-23,0.24981550
2021-04-22,0.26066150
2021-04-21,0.30582510
2021-04-20,0.31732050
2021-04-19,0.40890300
2021-04-18,0.32232990
2021-04-17,0.28225320
2021-04-16,0.36544340
2021-04-15,0.18235990
2021-04-14,0.12143290
2021-04-13,0.09440200
2021-04-12,0.07073430
2021-04-11,0.07433000
2021-04-10,0.06371670
2021-04-09,0.06158780
2021-04-08,0.06178380
2021-04-07,0.05877690
2021-04-06,0.06440470
2021-04-05,0.05999920
2021-04-04,0.05739430
2021-04-03,0.05551130
2021-04-02,0.05758490
2021-04-01,0.06215100
2021-03-31,0.05376990
2021-03-30,0.05400030
2021-03-29,0.05412400
2021-03-28,0.05366560
2021-03-27,0.05443600
2021-03-26,0.05393100
2021-03-25,0.05126600
2021-03-24,0.05149960
2021-03-23,0.05335320
2021-03-22,0.05488800
2021-03-21,0.05747810
2021-03-20,0.05881860
2021-03-19,0.05824720
2021-03-18,0.05734850
2021-03-17,0.05789200
2021-03-16,0.05865070
2021-03-15,0.05696910
2021-03-14,0.05822100
2021-03-13,0.06278920
2021-03-12,0.05527310
2021-03-11,0.05592860
2021-03-10,0.05586920
2021-03-09,0.05791170
2021-03-08,0.06297380
2021-03-07,0.05198710
2021-03-06,0.05095880
2021-03-05,0.04952850
2021-03-04,0.04998650
2021-03-03,0.05041460
2021-03-02,0.05036400
2021-03-01,0.05059330
2021-02-28,0.04815820
2021-02-27,0.05007250
2021-02-26,0.05047680
2021-02-25,0.04991380
2021-02-24,0.05679110
2021-02-23,0.04765620
2021-02-22,0.05355570
2021-02-21,0.05601830
2021-02-20,0.05417080
2021-02-19,0.05503300
2021-02-18,0.05879910
2021-02-17,0.04951870
2021-02-16,0.05347600
2021-02-15,0.05650000
2021-02-14,0.06267830
2021-02-13,0.06624050
2021-02-12,0.06976750
2021-02-11,0.06958300
2021-02-10,0.07255270
2021-02-09,0.07001210
2021-02-08,0.07870000
2021-02-07,0.07792470
2021-02-06,0.05765590
2021-02-05,0.04671930
2021-02-04,0.05290810
2021-02-03,0.03725970
2021-02-02,0.03134890
2021-02-01,0.03481730
2021-01-31,0.03700000
2021-01-30,0.02826000
2021-01-29,0.04590590
2021-01-28,0.03649950
2021-01-27,0.00741240
2021-01-26,0.00824720
2021-01-25,0.00835090
2021-01-24,0.00871350
2021-01-23,0.00857790
2021-01-22,0.00850750
2021-01-21,0.00815810
2021-01-20,0.00904870
2021-01-19,0.00904280
2021-01-18,0.00917820
2021-01-17,0.00909870
2021-01-16,0.00923740
2021-01-15,0.00935250
2021-01-14,0.00939070
2021-01-13,0.00867380
2021-01-12,0.00808070
2021-01-11,0.00883260
2021-01-10,0.00982000
2021-01-09,0.01017890
2021-01-08,0.00974000
2021-01-07,0.00974390
2021-01-06,0.01042000
2021-01-05,0.00997000
2021-01-04,0.00976130
2021-01-03,0.00982090
2021-01-02,0.01052640
2021-01-01,0.00568000
2020-12-31,0.00467090
2020-12-30,0.00462510
2020-12-29,0.00450120
2020-12-28,0.00460150
2020-12-27,0.00454700
2020-12-26,0.00451310
2020-12-25,0.00455490
2020-12-24,0.00457310
2020-12-23,0.00374490
2020-12-22,0.00451590
2020-12-21,0.00477840
2020-12-20,0.00463810
2020-12-19,0.00392910
2020-12-18,0.00386750
2020-12-17,0.00372200
2020-12-16,0.00341830
2020-12-15,0.00320780
2020-12-14,0.00322600
2020-12-13,0.00326000
2020-12-12,0.00316090
2020-12-11,0.00307320
2020-12-10,0.00310430
2020-12-09,0.00315620
2020-12-08,0.00317230
2020-12-07,0.00333600
2020-12-06,0.00338570
2020-12-05,0.00339170
2020-12-04,0.00328300
2020-12-03,0.00342900
2020-12-02,0.00336240
2020-12-01,0.00332110
2020-11-30,0.00356100
2020-11-29,0.00343650
2020-11-28,0.00339450
2020-11-27,0.00327520
2020-11-26,0.00324920
2020-11-25,0.00370810
2020-11-24,0.00425920
2020-11-23,0.00368450
2020-11-22,0.00334150
2020-11-21,0.00351320
2020-11-20,0.00298700
2020-11-19,0.00290680
2020-11-18,0.00290850
2020-11-17,0.00293980
2020-11-16,0.00289000
2020-11-15,0.00277180
2020-11-14,0.00276890
2020-11-13,0.00281140
2020-11-12,0.00277880
2020-11-11,0.00275800
2020-11-10,0.00276100
2020-11-09,0.00267200
2020-11-08,0.00270700
2020-11-07,0.00267000
2020-11-06,0.00275700
2020-11-05,0.00263470
2020-11-04,0.00254600
2020-11-03,0.00251410
2020-11-02,0.00251620
2020-11-01,0.00257450
2020-10-31,0.00256660
2020-10-30,0.00258330
2020-10-29,0.00257330
2020-10-28,0.00258010
2020-10-27,0.00267020
2020-10-26,0.00266500
2020-10-25,0.00265280
2020-10-24,0.00263650
2020-10-23,0.00264230
2020-10-22,0.00264600
2020-10-21,0.00262300
2020-10-20,0.00259440
2020-10-19,0.00259210
2020-10-18,0.00258740
2020-10-17,0.00258340
2020-10-16,0.00260400
2020-10-15,0.00259530
2020-10-14,0.00263900
2020-10-13,0.00263850
2020-10-12,0.00266700
2020-10-11,0.00267010
2020-10-10,0.00266210
2020-10-09,0.00265560
2020-10-08,0.00260980
2020-10-07,0.00258950
2020-10-06,0.00259700
2020-10-05,0.00261820
2020-10-04,0.00263300
2020-10-03,0.00259550
2020-10-02,0.00259020
2020-10-01,0.00262460
2020-09-30,0.00263500
2020-09-29,0.00267270
2020-09-28,0.00265040
2020-09-27,0.00269540
2020-09-26,0.00269720
2020-09-25,0.00270150
2020-09-24,0.00262970
2020-09-23,0.00254440
2020-09-22,0.00264320
2020-09-21,0.00259720
2020-09-20,0.00277290
2020-09-19,0.00279010
2020-09-18,0.00278920
2020-09-17,0.00280780
