,Date,BTC,ETH,LTC,XRP,SPY
0,2021-06-15,40624.02000000,2606.83000000,179.82000000,0.89870000,424.5
1,2021-06-14,40516.29000000,2580.77000000,179.89000000,0.89060000,425.29
2,2021-06-11,37331.98000000,2354.01000000,162.83000000,0.84710000,424.31
3,2021-06-10,36675.72000000,2471.09000000,168.16000000,0.86860000,423.58
4,2021-06-09,37388.05000000,2610.18000000,172.56000000,0.92180000,421.62
5,2021-06-08,33380.81000000,2507.23000000,160.63000000,0.87310000,422.27
6,2021-06-07,33552.79000000,2592.05000000,161.95000000,0.86180000,422.23
7,2021-06-04,36829.00000000,2689.51000000,178.44000000,0.96830000,422.57
8,2021-06-03,39246.79000000,2857.25000000,193.50000000,1.04500000,418.86
9,2021-06-02,37568.68000000,2706.22000000,187.14000000,1.02410000,420.38
10,2021-06-01,36693.09000000,2634.57000000,182.99000000,1.01080000,419.63
11,2021-05-28,35663.49000000,2412.10000000,177.33000000,0.89850000,420.02
12,2021-05-27,38529.98000000,2742.23000000,194.32000000,0.97470000,419.69
13,2021-05-26,39241.91000000,2884.94000000,198.91000000,1.03160000,419.04
14,2021-05-25,38324.72000000,2705.11000000,183.76000000,0.97460000,418.25
15,2021-05-24,38796.29000000,2648.43000000,185.32000000,0.99300000,419.12
16,2021-05-21,37252.01000000,2430.98000000,179.97000000,1.00620000,414.95
17,2021-05-20,40526.64000000,2768.62000000,210.74000000,1.17950000,415.24
18,2021-05-19,36690.09000000,2438.92000000,185.93000000,1.05680000,410.9
19,2021-05-18,42849.78000000,3375.07000000,293.98000000,1.58890000,411.99
20,2021-05-17,43538.04000000,3282.51000000,281.53000000,1.49460000,415.55
21,2021-05-14,49841.45000000,4075.01000000,326.23000000,1.40000000,416.53
22,2021-05-13,49670.97000000,3717.91000000,317.95000000,1.36400000,410.26
23,2021-05-12,49631.32000000,3823.21000000,310.40000000,1.26910000,405.45
24,2021-05-11,56670.02000000,4173.45000000,377.60000000,1.47860000,414.27
25,2021-05-10,55816.14000000,3945.88000000,358.89000000,1.39060000,417.98
26,2021-05-07,57314.75000000,3479.53000000,344.89000000,1.57930000,422.09
27,2021-05-06,56393.68000000,3489.73000000,354.67000000,1.60280000,419.08
28,2021-05-05,57436.11000000,3524.26000000,356.04000000,1.61330000,415.72
29,2021-05-04,53200.01000000,3239.01000000,305.23000000,1.38770000,415.64
30,2021-05-03,57169.39000000,3431.04000000,294.87000000,1.55460000,418.18
31,2021-04-30,57694.27000000,2772.42000000,271.13000000,1.59880000,417.3
32,2021-04-29,53555.00000000,2757.04000000,255.31000000,1.39780000,419.98
33,2021-04-28,54846.22000000,2748.24000000,258.51000000,1.35760000,417.35
34,2021-04-27,55011.97000000,2666.13000000,259.77000000,1.40170000,417.48
35,2021-04-26,54001.39000000,2532.60000000,247.42000000,1.36290000,417.64
36,2021-04-23,51125.14000000,2367.39000000,241.31000000,1.17073000,416.72
37,2021-04-22,51690.96000000,2397.94000000,252.50000000,1.15489000,412.3
38,2021-04-21,53787.63000000,2357.06000000,257.69000000,1.29097000,416.08
39,2021-04-20,56425.00000000,2330.03000000,260.68000000,1.38501000,412.22
40,2021-04-19,55633.14000000,2161.12000000,261.38000000,1.30945000,415.24
41,2021-04-16,61334.80000000,2422.67000000,308.43000000,1.54805000,417.31
42,2021-04-15,63159.98000000,2514.04000000,285.63000000,1.75781000,415.82
43,2021-04-14,62959.53000000,2432.60000000,278.86000000,1.83468000,411.48
44,2021-04-13,63575.00000000,2299.19000000,267.59000000,1.79611000,412.82
45,2021-04-12,59860.00000000,2137.69000000,244.42000000,1.46843000,411.62
46,2021-04-09,58142.54000000,2066.87000000,221.12000000,1.01721000,411.435
47,2021-04-08,58077.52000000,2080.46000000,226.11000000,1.05599000,408.49
48,2021-04-07,55953.45000000,1963.47000000,219.05000000,0.91542000,406.5711
49,2021-04-06,57991.15000000,2112.21000000,237.04000000,1.09663000,406.06
50,2021-04-05,59129.99000000,2107.38000000,221.48000000,0.91584000,406.3
51,2021-04-01,58720.44000000,1968.05000000,202.86000000,0.57087000,400.53
52,2021-03-31,58740.55000000,1919.37000000,196.70000000,0.56982000,396.26
53,2021-03-30,58746.57000000,1840.46000000,195.74000000,0.56210000,394.78
54,2021-03-29,57635.47000000,1816.74000000,193.73000000,0.56538000,395.485
55,2021-03-26,55025.59000000,1698.84000000,183.45000000,0.56357000,395.97
56,2021-03-25,51293.78000000,1585.74000000,171.53000000,0.51058000,389.64
57,2021-03-24,52303.65000000,1581.84000000,176.05000000,0.48021000,387.55
58,2021-03-23,54340.89000000,1668.08000000,185.83000000,0.54980000,389.59
59,2021-03-22,54083.25000000,1680.97000000,185.67000000,0.54410000,392.54
60,2021-03-19,58030.01000000,1809.10000000,199.96000000,0.46651000,389.5
61,2021-03-18,57648.16000000,1776.08000000,199.70000000,0.46893000,391.41
62,2021-03-17,58912.97000000,1823.58000000,205.98000000,0.46980000,397.22
63,2021-03-16,56900.75000000,1805.12000000,201.60000000,0.46024000,395.94
64,2021-03-15,55605.20000000,1793.48000000,200.59000000,0.43574000,396.47
65,2021-03-12,57221.72000000,1766.10000000,220.84000000,0.43934000,394.09
66,2021-03-11,57773.16000000,1825.78000000,201.36000000,0.45187000,393.5
67,2021-03-10,55851.59000000,1795.12000000,200.29000000,0.46155000,389.5199
68,2021-03-09,54884.50000000,1870.51000000,203.81000000,0.48490000,387.11
69,2021-03-08,52375.17000000,1833.18000000,191.85000000,0.47412000,381.74
70,2021-03-05,48751.71000000,1528.31000000,180.23000000,0.45457000,383.595
71,2021-03-04,48374.09000000,1539.23000000,180.67000000,0.48096000,376.73
72,2021-03-03,50349.37000000,1567.69000000,187.64000000,0.44846000,381.45
