,BTC,XRP,4b. close (USD),4b. close (USD),4b. close (USD)
2018-09-17,6248.69,0.2706,196.16,52.07,
2018-09-18,6336.45,0.31897,208.17,53.96,
2018-09-19,6391.89,0.32679,209.79,54.27,
2018-09-20,6492.0,0.44819,224.0,56.53,
2018-09-21,6759.02,0.56405,247.73,60.83,
2018-09-22,6723.05,0.57368,241.01,60.65,
2018-09-23,6708.0,0.5719,244.5,61.38,
2018-09-24,6581.39,0.49358,228.06,58.01,
2018-09-25,6447.54,0.5256,219.62,57.61,
2018-09-26,6465.12,0.513,214.42,57.18,
2018-09-27,6689.13,0.54305,229.13,63.28,
2018-09-28,6634.58,0.54025,221.84,61.95,
2018-09-29,6596.38,0.56876,231.62,61.61,
2018-09-30,6626.57,0.58257,232.94,61.21,
2018-10-01,6611.61,0.5776,231.61,60.45,
2018-10-02,6525.79,0.51692,225.69,59.46,
2018-10-03,6510.0,0.5293,220.77,57.56,
2018-10-04,6593.79,0.5294,222.66,58.42,
2018-10-05,6635.65,0.5211,228.37,58.93,
2018-10-06,6594.27,0.48964,225.4,57.96,
2018-10-07,6615.26,0.48269,226.14,58.33,
2018-10-08,6673.01,0.49335,230.01,59.66,
2018-10-09,6656.61,0.48199,228.4,59.03,
2018-10-10,6631.0,0.46605,226.74,58.46,
2018-10-11,6252.68,0.38315,191.58,51.36,
2018-10-12,6298.01,0.42071,196.96,53.74,
2018-10-13,6332.93,0.4227,201.3,54.05,
2018-10-14,6339.34,0.40994,197.01,52.61,
2018-10-15,6752.5,0.46168,214.39,56.16,
2018-10-16,6759.27,0.48352,215.09,55.54,
2018-10-17,6740.89,0.48437,212.85,55.27,
2018-10-18,6618.96,0.4675,206.24,53.53,
2018-10-19,6528.88,0.46077,205.0,53.71,
2018-10-20,6588.4,0.46788,207.91,54.28,
2018-10-21,6590.11,0.46458,207.49,53.61,
2018-10-22,6581.2,0.46192,206.67,53.12,
2018-10-23,6553.51,0.47006,205.85,53.33,
2018-10-24,6565.5,0.46402,205.35,53.11,
2018-10-25,6528.09,0.46351,203.93,52.84,
2018-10-26,6538.63,0.46657,204.92,52.56,
2018-10-27,6505.6,0.46012,204.45,52.25,
2018-10-28,6489.93,0.46472,204.99,52.07,
2018-10-29,6344.5,0.44506,196.96,49.21,
2018-10-30,6330.87,0.44749,197.27,49.34,
2018-10-31,6371.93,0.45418,198.73,49.93,
2018-11-01,6410.0,0.46141,199.96,50.61,
2018-11-02,6433.98,0.463,202.35,51.78,
2018-11-03,6387.09,0.45713,200.31,51.04,
2018-11-04,6485.85,0.46999,212.11,54.6,
2018-11-05,6468.99,0.5022,210.66,53.91,
2018-11-06,6519.11,0.55523,220.74,56.48,
2018-11-07,6578.46,0.5409,219.07,54.47,
2018-11-08,6479.84,0.49694,212.79,52.72,
2018-11-09,6419.99,0.5044,210.77,52.25,
2018-11-10,6433.05,0.50956,213.25,52.48,
2018-11-11,6449.81,0.51019,212.54,51.46,
2018-11-12,6453.07,0.5245,212.89,51.26,
2018-11-13,6457.66,0.51736,209.84,50.43,
2018-11-14,5922.41,0.4846,187.43,45.05,
2018-11-15,5753.4,0.48931,184.35,44.78,
2018-11-16,5655.94,0.47765,176.89,42.89,
2018-11-17,5628.29,0.49813,176.2,42.43,
2018-11-18,5662.0,0.51611,178.97,42.61,
2018-11-19,4910.03,0.4825,150.81,37.07,
2018-11-20,4558.86,0.44285,133.82,33.8,
2018-11-21,4661.07,0.45367,138.23,35.15,
2018-11-22,4370.0,0.42831,126.63,32.11,
2018-11-23,4420.61,0.41447,125.02,32.74,
2018-11-24,3932.44,0.37982,114.89,29.73,
2018-11-25,4085.78,0.382,118.67,31.49,
2018-11-26,3862.2,0.36354,110.68,30.18,
2018-11-27,3875.21,0.365,111.43,31.61,
2018-11-28,4264.85,0.39203,122.9,34.74,
2018-11-29,4295.84,0.38149,117.98,33.88,
2018-11-30,4041.32,0.36466,113.73,32.21,
2018-12-01,4190.02,0.37205,118.1,34.17,
2018-12-02,4161.01,0.36963,116.57,33.82,
2018-12-03,3884.01,0.34827,108.76,30.9,
2018-12-04,3951.64,0.35231,109.94,31.13,
2018-12-05,3769.84,0.3395,102.71,29.27,
2018-12-06,3508.75,0.30919,91.0,26.78,
2018-12-07,3403.55,0.30114,93.05,24.91,
2018-12-08,3410.93,0.30247,90.38,24.22,
2018-12-09,3545.37,0.30914,93.26,25.37,
2018-12-10,3432.88,0.29956,89.91,24.14,
2018-12-11,3380.39,0.29904,87.76,23.41,
2018-12-12,3445.0,0.30463,89.41,24.13,
2018-12-13,3302.06,0.29934,86.34,23.08,
