,Date,SPY
0,2018-09-18,290.9
1,2018-09-19,291.25
2,2018-09-20,293.55
3,2018-09-21,292.01
4,2018-09-24,291.07
5,2018-09-25,290.7
6,2018-09-26,289.84
7,2018-09-27,290.65
8,2018-09-28,290.61
9,2018-10-01,291.67
10,2018-10-02,291.57
11,2018-10-03,291.78
12,2018-10-04,289.47
13,2018-10-05,287.89
14,2018-10-08,287.8
15,2018-10-09,287.43
16,2018-10-10,278.17
17,2018-10-11,272.25
18,2018-10-12,276.01
19,2018-10-15,274.48
20,2018-10-16,280.3
21,2018-10-17,280.4
22,2018-10-18,276.47
23,2018-10-19,276.19
24,2018-10-22,275.06
25,2018-10-23,273.54
26,2018-10-24,265.22
27,2018-10-25,270.14
28,2018-10-26,265.29
29,2018-10-29,263.8
30,2018-10-30,267.81
31,2018-10-31,270.69
32,2018-11-01,273.51
33,2018-11-02,271.8
34,2018-11-05,273.38
35,2018-11-06,275.12
36,2018-11-07,280.91
37,2018-11-08,280.44
38,2018-11-09,277.83
39,2018-11-12,272.49
40,2018-11-13,272.06
41,2018-11-14,270.13
42,2018-11-15,273.07
43,2018-11-16,273.68
44,2018-11-19,269.08
45,2018-11-20,264.18
46,2018-11-21,265.08
47,2018-11-23,263.34
48,2018-11-26,267.46
49,2018-11-27,268.34
50,2018-11-28,274.5
51,2018-11-29,273.93
52,2018-11-30,275.78
53,2018-12-03,279.25
54,2018-12-04,270.3
55,2018-12-06,269.95
56,2018-12-07,263.64
57,2018-12-10,264.07
58,2018-12-11,264.1
59,2018-12-12,265.53
60,2018-12-13,265.41
61,2018-12-14,260.5
62,2018-12-17,255.1
63,2018-12-18,255.12
64,2018-12-19,251.19
65,2018-12-20,247.25
66,2018-12-21,240.73
67,2018-12-24,234.41
68,2018-12-26,245.96
69,2018-12-27,248.01
70,2018-12-28,247.6899
71,2018-12-31,248.55
72,2019-01-02,249.89
73,2019-01-03,244.46
74,2019-01-04,252.41
75,2019-01-07,254.4
76,2019-01-08,256.65
77,2019-01-09,257.71
78,2019-01-10,258.94
79,2019-01-11,258.76
80,2019-01-14,257.69
81,2019-01-15,260.21
82,2019-01-16,260.94
83,2019-01-17,262.88
84,2019-01-18,266.16
85,2019-01-22,261.97
86,2019-01-23,263.1
87,2019-01-24,263.69
88,2019-01-25,265.7
89,2019-01-28,263.635
90,2019-01-29,263.31
91,2019-01-30,267.4625
92,2019-01-31,270.2325
93,2019-02-01,270.07
94,2019-02-04,271.78
95,2019-02-05,273.13
96,2019-02-06,272.7
97,2019-02-07,269.97
98,2019-02-08,270.08
99,2019-02-11,270.64
100,2019-02-12,274.075
101,2019-02-13,274.98
102,2019-02-14,274.535
103,2019-02-15,277.27
104,2019-02-19,277.78
105,2019-02-20,278.43
106,2019-02-21,277.46
107,2019-02-22,279.15
108,2019-02-25,279.57
109,2019-02-26,279.34
110,2019-02-27,279.23
111,2019-02-28,278.54
112,2019-03-01,280.49
113,2019-03-04,279.41
114,2019-03-05,279.05
115,2019-03-06,277.29
116,2019-03-07,275.08
117,2019-03-08,274.525
118,2019-03-11,278.5
119,2019-03-12,279.44
120,2019-03-13,281.34
121,2019-03-14,281.19
122,2019-03-15,281.35
123,2019-03-18,282.38
124,2019-03-19,282.48
125,2019-03-20,281.53
126,2019-03-21,284.67
127,2019-03-22,279.25
128,2019-03-25,279.03
129,2019-03-26,281.02
130,2019-03-27,279.72
131,2019-03-28,280.79
132,2019-03-29,282.62
133,2019-04-01,285.89
134,2019-04-02,285.98
135,2019-04-03,286.52
136,2019-04-04,287.22
137,2019-04-05,288.62
138,2019-04-08,288.81
139,2019-04-09,287.305
140,2019-04-10,288.29
141,2019-04-11,288.23
