,ETH
2021-06-12,2335.78000000
2021-06-11,2354.01000000
2021-06-10,2471.09000000
2021-06-09,2610.18000000
2021-06-08,2507.23000000
2021-06-07,2592.05000000
2021-06-06,2711.92000000
2021-06-05,2627.73000000
2021-06-04,2689.51000000
2021-06-03,2857.25000000
2021-06-02,2706.22000000
2021-06-01,2634.57000000
2021-05-31,2706.15000000
2021-05-30,2385.98000000
2021-05-29,2278.74000000
2021-05-28,2412.10000000
2021-05-27,2742.23000000
2021-05-26,2884.94000000
2021-05-25,2705.11000000
2021-05-24,2648.43000000
2021-05-23,2096.39000000
2021-05-22,2294.87000000
2021-05-21,2430.98000000
2021-05-20,2768.62000000
2021-05-19,2438.92000000
2021-05-18,3375.07000000
2021-05-17,3282.51000000
2021-05-16,3582.10000000
2021-05-15,3646.68000000
2021-05-14,4075.01000000
2021-05-13,3717.91000000
2021-05-12,3823.21000000
2021-05-11,4173.45000000
2021-05-10,3945.88000000
2021-05-09,3923.95000000
2021-05-08,3910.26000000
2021-05-07,3479.53000000
2021-05-06,3489.73000000
2021-05-05,3524.26000000
2021-05-04,3239.01000000
2021-05-03,3431.04000000
2021-05-02,2949.56000000
2021-05-01,2944.77000000
2021-04-30,2772.42000000
2021-04-29,2757.04000000
2021-04-28,2748.24000000
2021-04-27,2666.13000000
2021-04-26,2532.60000000
2021-04-25,2320.49000000
2021-04-24,2213.35000000
2021-04-23,2367.39000000
2021-04-22,2397.94000000
2021-04-21,2357.06000000
2021-04-20,2330.03000000
2021-04-19,2161.12000000
2021-04-18,2235.64000000
2021-04-17,2317.60000000
2021-04-16,2422.67000000
2021-04-15,2514.04000000
2021-04-14,2432.60000000
2021-04-13,2299.19000000
2021-04-12,2137.69000000
2021-04-11,2151.36000000
2021-04-10,2133.49000000
2021-04-09,2066.87000000
2021-04-08,2080.46000000
2021-04-07,1963.47000000
2021-04-06,2112.21000000
2021-04-05,2107.38000000
2021-04-04,2075.69000000
2021-04-03,2008.52000000
2021-04-02,2133.69000000
2021-04-01,1968.05000000
2021-03-31,1919.37000000
2021-03-30,1840.46000000
2021-03-29,1816.74000000
2021-03-28,1687.01000000
2021-03-27,1712.63000000
2021-03-26,1698.84000000
2021-03-25,1585.74000000
2021-03-24,1581.84000000
2021-03-23,1668.08000000
2021-03-22,1680.97000000
2021-03-21,1782.98000000
2021-03-20,1806.10000000
2021-03-19,1809.10000000
2021-03-18,1776.08000000
2021-03-17,1823.58000000
2021-03-16,1805.12000000
2021-03-15,1793.48000000
2021-03-14,1848.10000000
2021-03-13,1922.35000000
2021-03-12,1766.10000000
2021-03-11,1825.78000000
2021-03-10,1795.12000000
2021-03-09,1870.51000000
2021-03-08,1833.18000000
2021-03-07,1726.16000000
2021-03-06,1650.35000000
2021-03-05,1528.31000000
2021-03-04,1539.23000000
2021-03-03,1567.69000000
2021-03-02,1486.78000000
2021-03-01,1569.86000000
2021-02-28,1419.18000000
2021-02-27,1458.13000000
2021-02-26,1444.59000000
2021-02-25,1481.75000000
2021-02-24,1623.39000000
2021-02-23,1577.89000000
2021-02-22,1777.58000000
2021-02-21,1933.53000000
2021-02-20,1913.00000000
2021-02-19,1955.00000000
2021-02-18,1939.61000000
2021-02-17,1849.88000000
2021-02-16,1781.99000000
2021-02-15,1779.25000000
2021-02-14,1800.42000000
2021-02-13,1814.96000000
2021-02-12,1840.26000000
2021-02-11,1785.62000000
2021-02-10,1740.78000000
2021-02-09,1769.13000000
2021-02-08,1750.15000000
2021-02-07,1611.62000000
2021-02-06,1676.35000000
2021-02-05,1719.19000000
2021-02-04,1595.67000000
2021-02-03,1664.49000000
2021-02-02,1511.87000000
2021-02-01,1374.17000000
2021-01-31,1312.55000000
2021-01-30,1378.05000000
2021-01-29,1379.50000000
2021-01-28,1329.69000000
2021-01-27,1239.03000000
2021-01-26,1365.97000000
2021-01-25,1317.88000000
2021-01-24,1392.51000000
2021-01-23,1233.60000000
2021-01-22,1232.62000000
2021-01-21,1110.96000000
2021-01-20,1376.99000000
2021-01-19,1365.36000000
2021-01-18,1258.45000000
2021-01-17,1232.45000000
2021-01-16,1227.83000000
2021-01-15,1168.53000000
2021-01-14,1231.62000000
2021-01-13,1129.89000000
2021-01-12,1050.16000000
2021-01-11,1087.01000000
2021-01-10,1254.25000000
2021-01-09,1276.00000000
2021-01-08,1216.93000000
2021-01-07,1224.87000000
2021-01-06,1208.42000000
2021-01-05,1099.56000000
2021-01-04,1041.43000000
2021-01-03,978.28000000
2021-01-02,774.56000000
2021-01-01,728.91000000
2020-12-31,736.42000000
2020-12-30,752.17000000
2020-12-29,732.00000000
2020-12-28,730.41000000
2020-12-27,685.11000000
2020-12-26,637.44000000
2020-12-25,626.82000000
2020-12-24,612.31000000
2020-12-23,585.56000000
2020-12-22,636.45000000
2020-12-21,607.58000000
2020-12-20,638.18000000
2020-12-19,658.03000000
2020-12-18,653.85000000
2020-12-17,642.70000000
2020-12-16,637.18000000
2020-12-15,588.64000000
2020-12-14,586.29000000
2020-12-13,590.70000000
2020-12-12,568.04000000
2020-12-11,544.43000000
2020-12-10,558.99000000
2020-12-09,573.09000000
2020-12-08,554.94000000
2020-12-07,591.28000000
2020-12-06,601.54000000
2020-12-05,596.80000000
2020-12-04,567.24000000
2020-12-03,615.85000000
2020-12-02,596.89000000
2020-12-01,585.26000000
2020-11-30,616.66000000
2020-11-29,576.30000000
2020-11-28,537.52000000
2020-11-27,518.68000000
2020-11-26,519.83000000
2020-11-25,569.50000000
2020-11-24,604.97000000
2020-11-23,608.58000000
2020-11-22,560.03000000
2020-11-21,552.35000000
2020-11-20,510.12000000
2020-11-19,471.25000000
2020-11-18,478.41000000
2020-11-17,482.15000000
2020-11-16,460.55000000
2020-11-15,448.08000000
2020-11-14,460.89000000
2020-11-13,476.43000000
2020-11-12,462.39000000
2020-11-11,463.09000000
2020-11-10,450.34000000
2020-11-09,444.32000000
2020-11-08,454.30000000
2020-11-07,435.21000000
2020-11-06,455.91000000
2020-11-05,416.69000000
2020-11-04,402.49000000
2020-11-03,387.88000000
2020-11-02,383.02000000
2020-11-01,396.67000000
2020-10-31,386.46000000
2020-10-30,382.49000000
2020-10-29,387.13000000
2020-10-28,388.23000000
2020-10-27,403.45000000
2020-10-26,392.52000000
2020-10-25,405.86000000
2020-10-24,412.14000000
2020-10-23,409.11000000
2020-10-22,413.98000000
2020-10-21,390.38000000
2020-10-20,368.52000000
2020-10-19,379.30000000
2020-10-18,378.11000000
2020-10-17,368.32000000
2020-10-16,365.50000000
2020-10-15,377.64000000
2020-10-14,378.69000000
2020-10-13,381.04000000
2020-10-12,386.51000000
2020-10-11,374.16000000
2020-10-10,370.52000000
2020-10-09,365.02000000
2020-10-08,350.95000000
2020-10-07,341.58000000
2020-10-06,340.75000000
2020-10-05,353.62000000
2020-10-04,352.37000000
2020-10-03,345.95000000
2020-10-02,345.60000000
2020-10-01,352.85000000
2020-09-30,359.83000000
2020-09-29,359.79000000
2020-09-28,353.96000000
2020-09-27,357.49000000
2020-09-26,353.92000000
2020-09-25,351.92000000
2020-09-24,348.97000000
2020-09-23,320.72000000
2020-09-22,344.21000000
2020-09-21,340.36000000
2020-09-20,371.04000000
2020-09-19,385.25000000
2020-09-18,384.39000000
2020-09-17,389.36000000
2020-09-16,365.11000000
2020-09-15,364.06000000
2020-09-14,377.12000000
2020-09-13,366.42000000
2020-09-12,387.78000000
2020-09-11,373.63000000
2020-09-10,367.93000000
2020-09-09,350.85000000
2020-09-08,337.39000000
2020-09-07,353.59000000
2020-09-06,352.80000000
2020-09-05,335.01000000
2020-09-04,385.26000000
2020-09-03,381.40000000
2020-09-02,439.50000000
2020-09-01,475.40000000
2020-08-31,433.79000000
2020-08-30,428.94000000
2020-08-29,398.65000000
2020-08-28,395.11000000
2020-08-27,383.27000000
2020-08-26,385.81000000
2020-08-25,382.93000000
2020-08-24,407.68000000
2020-08-23,390.71000000
2020-08-22,395.24000000
2020-08-21,387.97000000
2020-08-20,415.94000000
2020-08-19,407.46000000
2020-08-18,421.95000000
2020-08-17,430.89000000
2020-08-16,433.62000000
2020-08-15,432.32000000
2020-08-14,438.11000000
2020-08-13,424.54000000
2020-08-12,387.18000000
2020-08-11,379.00000000
2020-08-10,395.44000000
2020-08-09,390.14000000
2020-08-08,397.03000000
2020-08-07,379.34000000
2020-08-06,394.77000000
2020-08-05,400.72000000
2020-08-04,389.61000000
2020-08-03,385.94000000
2020-08-02,372.42000000
2020-08-01,387.00000000
2020-07-31,346.33000000
2020-07-30,334.87000000
2020-07-29,317.71000000
2020-07-28,316.77000000
2020-07-27,321.93000000
2020-07-26,311.00000000
2020-07-25,305.26000000
2020-07-24,279.15000000
2020-07-23,275.30000000
2020-07-22,263.74000000
2020-07-21,245.59000000
2020-07-20,236.01000000
2020-07-19,239.11000000
2020-07-18,235.67000000
2020-07-17,232.67000000
2020-07-16,233.57000000
2020-07-15,238.61000000
2020-07-14,240.44000000
2020-07-13,239.50000000
2020-07-12,242.79000000
2020-07-11,239.19000000
2020-07-10,241.26000000
2020-07-09,241.98000000
2020-07-08,246.95000000
2020-07-07,239.39000000
2020-07-06,241.60000000
2020-07-05,227.56000000
2020-07-04,229.17000000
2020-07-03,224.87000000
2020-07-02,226.46000000
2020-07-01,230.99000000
2020-06-30,225.60000000
2020-06-29,227.93000000
2020-06-28,224.93000000
2020-06-27,220.94000000
2020-06-26,229.64000000
2020-06-25,232.50000000
2020-06-24,234.58000000
2020-06-23,243.14000000
2020-06-22,243.13000000
