,LTC
2021-06-12,160.64000000
2021-06-11,162.83000000
2021-06-10,168.16000000
2021-06-09,172.56000000
2021-06-08,160.63000000
2021-06-07,161.95000000
2021-06-06,176.41000000
2021-06-05,172.94000000
2021-06-04,178.44000000
2021-06-03,193.50000000
2021-06-02,187.14000000
2021-06-01,182.99000000
2021-05-31,187.97000000
2021-05-30,170.51000000
2021-05-29,164.01000000
2021-05-28,177.33000000
2021-05-27,194.32000000
2021-05-26,198.91000000
2021-05-25,183.76000000
2021-05-24,185.32000000
2021-05-23,142.39000000
2021-05-22,169.32000000
2021-05-21,179.97000000
2021-05-20,210.74000000
2021-05-19,185.93000000
2021-05-18,293.98000000
2021-05-17,281.53000000
2021-05-16,295.89000000
2021-05-15,300.30000000
2021-05-14,326.23000000
2021-05-13,317.95000000
2021-05-12,310.40000000
2021-05-11,377.60000000
2021-05-10,358.89000000
2021-05-09,387.80000000
2021-05-08,347.10000000
2021-05-07,344.89000000
2021-05-06,354.67000000
2021-05-05,356.04000000
2021-05-04,305.23000000
2021-05-03,294.87000000
2021-05-02,268.88000000
2021-05-01,276.78000000
2021-04-30,271.13000000
2021-04-29,255.31000000
2021-04-28,258.51000000
2021-04-27,259.77000000
2021-04-26,247.42000000
2021-04-25,223.88000000
2021-04-24,224.75000000
2021-04-23,241.31000000
2021-04-22,252.50000000
2021-04-21,257.69000000
2021-04-20,260.68000000
2021-04-19,261.38000000
2021-04-18,273.36000000
2021-04-17,300.86000000
2021-04-16,308.43000000
2021-04-15,285.63000000
2021-04-14,278.86000000
2021-04-13,267.59000000
2021-04-12,244.42000000
2021-04-11,252.31000000
2021-04-10,256.34000000
2021-04-09,221.12000000
2021-04-08,226.11000000
2021-04-07,219.05000000
2021-04-06,237.04000000
2021-04-05,221.48000000
2021-04-04,202.21000000
2021-04-03,195.23000000
2021-04-02,211.46000000
2021-04-01,202.86000000
2021-03-31,196.70000000
2021-03-30,195.74000000
2021-03-29,193.73000000
2021-03-28,184.24000000
2021-03-27,184.06000000
2021-03-26,183.45000000
2021-03-25,171.53000000
2021-03-24,176.05000000
2021-03-23,185.83000000
2021-03-22,185.67000000
2021-03-21,195.31000000
2021-03-20,200.17000000
2021-03-19,199.96000000
2021-03-18,199.70000000
2021-03-17,205.98000000
2021-03-16,201.60000000
2021-03-15,200.59000000
2021-03-14,213.94000000
2021-03-13,226.06000000
2021-03-12,220.84000000
2021-03-11,201.36000000
2021-03-10,200.29000000
2021-03-09,203.81000000
2021-03-08,191.85000000
2021-03-07,190.75000000
2021-03-06,182.85000000
2021-03-05,180.23000000
2021-03-04,180.67000000
2021-03-03,187.64000000
2021-03-02,179.08000000
2021-03-01,175.89000000
2021-02-28,165.22000000
2021-02-27,171.76000000
2021-02-26,170.25000000
2021-02-25,179.36000000
2021-02-24,181.43000000
2021-02-23,177.34000000
2021-02-22,208.32000000
2021-02-21,227.13000000
2021-02-20,226.65000000
2021-02-19,236.50000000
2021-02-18,226.59000000
2021-02-17,237.49000000
2021-02-16,210.26000000
2021-02-15,207.83000000
2021-02-14,213.49000000
2021-02-13,225.76000000
2021-02-12,196.69000000
2021-02-11,183.62000000
2021-02-10,181.56000000
2021-02-09,181.49000000
2021-02-08,167.28000000
2021-02-07,150.76000000
2021-02-06,155.57000000
2021-02-05,155.05000000
2021-02-04,145.07000000
2021-02-03,155.93000000
2021-02-02,141.98000000
2021-02-01,132.00000000
2021-01-31,129.36000000
2021-01-30,133.36000000
2021-01-29,134.65000000
2021-01-28,133.27000000
2021-01-27,122.44000000
2021-01-26,134.67000000
2021-01-25,137.07000000
2021-01-24,141.01000000
2021-01-23,137.67000000
2021-01-22,137.66000000
2021-01-21,129.72000000
2021-01-20,149.69000000
2021-01-19,151.86000000
2021-01-18,151.96000000
2021-01-17,142.80000000
2021-01-16,143.52000000
2021-01-15,143.65000000
2021-01-14,152.50000000
2021-01-13,147.38000000
2021-01-12,133.42000000
2021-01-11,138.87000000
2021-01-10,170.07000000
2021-01-09,177.26000000
2021-01-08,172.19000000
2021-01-07,169.35000000
2021-01-06,168.92000000
2021-01-05,158.43000000
2021-01-04,155.34000000
2021-01-03,161.24000000
2021-01-02,136.96000000
2021-01-01,126.24000000
2020-12-31,124.21000000
2020-12-30,130.05000000
