,XRP
2021-06-12,0.83930000
2021-06-11,0.84710000
2021-06-10,0.86860000
2021-06-09,0.92180000
2021-06-08,0.87310000
2021-06-07,0.86180000
2021-06-06,0.94700000
2021-06-05,0.92300000
2021-06-04,0.96830000
2021-06-03,1.04500000
2021-06-02,1.02410000
2021-06-01,1.01080000
2021-05-31,1.04090000
2021-05-30,0.90580000
2021-05-29,0.83180000
2021-05-28,0.89850000
2021-05-27,0.97470000
2021-05-26,1.03160000
2021-05-25,0.97460000
2021-05-24,0.99300000
2021-05-23,0.78980000
2021-05-22,0.90520000
2021-05-21,1.00620000
2021-05-20,1.17950000
2021-05-19,1.05680000
2021-05-18,1.58890000
2021-05-17,1.49460000
2021-05-16,1.44960000
2021-05-15,1.49040000
2021-05-14,1.40000000
2021-05-13,1.36400000
2021-05-12,1.26910000
2021-05-11,1.47860000
2021-05-10,1.39060000
2021-05-09,1.53450000
2021-05-08,1.56110000
2021-05-07,1.57930000
2021-05-06,1.60280000
2021-05-05,1.61330000
2021-05-04,1.38770000
2021-05-03,1.55460000
2021-05-02,1.56050000
2021-05-01,1.65100000
2021-04-30,1.59880000
2021-04-29,1.39780000
2021-04-28,1.35760000
2021-04-27,1.40170000
2021-04-26,1.36290000
2021-04-25,1.03510000
2021-04-24,1.04833000
2021-04-23,1.17073000
2021-04-22,1.15489000
2021-04-21,1.29097000
2021-04-20,1.38501000
2021-04-19,1.30945000
2021-04-18,1.40797000
2021-04-17,1.53896000
2021-04-16,1.54805000
2021-04-15,1.75781000
2021-04-14,1.83468000
2021-04-13,1.79611000
2021-04-12,1.46843000
2021-04-11,1.35118000
2021-04-10,1.37280000
2021-04-09,1.01721000
2021-04-08,1.05599000
2021-04-07,0.91542000
2021-04-06,1.09663000
2021-04-05,0.91584000
2021-04-04,0.63500000
2021-04-03,0.57831000
2021-04-02,0.60701000
2021-04-01,0.57087000
2021-03-31,0.56982000
2021-03-30,0.56210000
2021-03-29,0.56538000
2021-03-28,0.54552000
2021-03-27,0.54752000
2021-03-26,0.56357000
2021-03-25,0.51058000
2021-03-24,0.48021000
2021-03-23,0.54980000
2021-03-22,0.54410000
2021-03-21,0.51651000
2021-03-20,0.52613000
2021-03-19,0.46651000
2021-03-18,0.46893000
2021-03-17,0.46980000
2021-03-16,0.46024000
2021-03-15,0.43574000
2021-03-14,0.43905000
2021-03-13,0.45787000
2021-03-12,0.43934000
2021-03-11,0.45187000
2021-03-10,0.46155000
2021-03-09,0.48490000
2021-03-08,0.47412000
2021-03-07,0.46558000
2021-03-06,0.46285000
2021-03-05,0.45457000
2021-03-04,0.48096000
2021-03-03,0.44846000
2021-03-02,0.43570000
2021-03-01,0.44537000
2021-02-28,0.41565000
2021-02-27,0.43589000
2021-02-26,0.42788000
2021-02-25,0.43601000
2021-02-24,0.46860000
2021-02-23,0.47579000
2021-02-22,0.56646000
2021-02-21,0.54468000
2021-02-20,0.51167000
2021-02-19,0.56465000
2021-02-18,0.53204000
2021-02-17,0.53467000
2021-02-16,0.51995000
2021-02-15,0.54976000
2021-02-14,0.59211000
2021-02-13,0.63309000
2021-02-12,0.60900000
2021-02-11,0.52806000
2021-02-10,0.50429000
2021-02-09,0.47636000
2021-02-08,0.45099000
2021-02-07,0.41849000
2021-02-06,0.44307000
2021-02-05,0.45219000
2021-02-04,0.44545000
2021-02-03,0.39721000
2021-02-02,0.37254000
2021-02-01,0.37106000
2021-01-31,0.49507000
2021-01-30,0.44372000
2021-01-29,0.28290000
2021-01-28,0.26407000
2021-01-27,0.25039000
2021-01-26,0.26834000
2021-01-25,0.26757000
2021-01-24,0.27339000
2021-01-23,0.27167000
2021-01-22,0.27217000
2021-01-21,0.26802000
2021-01-20,0.29539000
2021-01-19,0.29396000
2021-01-18,0.28528000
2021-01-17,0.27746000
2021-01-16,0.27924000
2021-01-15,0.27991000
2021-01-14,0.29642000
2021-01-13,0.30582000
2021-01-12,0.29254000
2021-01-11,0.28743000
2021-01-10,0.31491000
2021-01-09,0.32419000
2021-01-08,0.32032000
2021-01-07,0.32389000
2021-01-06,0.24854000
2021-01-05,0.22573000
2021-01-04,0.23565000
2021-01-03,0.22540000
2021-01-02,0.22064000
2021-01-01,0.23746000
2020-12-31,0.21959000
2020-12-30,0.21138000
2020-12-29,0.22142000
2020-12-28,0.24845000
2020-12-27,0.28407000
2020-12-26,0.29481000
2020-12-25,0.31768000
2020-12-24,0.33863000
2020-12-23,0.26050000
2020-12-22,0.44642000
2020-12-21,0.51445000
2020-12-20,0.55586000
2020-12-19,0.57666000
2020-12-18,0.58337000
2020-12-17,0.57690000
2020-12-16,0.56941000
2020-12-15,0.46793000
2020-12-14,0.49740000
2020-12-13,0.51365000
2020-12-12,0.50658000
2020-12-11,0.54945000
2020-12-10,0.57267000
2020-12-09,0.58265000
2020-12-08,0.55890000
2020-12-07,0.60818000
2020-12-06,0.62107000
2020-12-05,0.58517000
2020-12-04,0.55367000
2020-12-03,0.63046000
2020-12-02,0.62972000
2020-12-01,0.61088000
2020-11-30,0.66417000
2020-11-29,0.60543000
2020-11-28,0.62579000
2020-11-27,0.56230000
2020-11-26,0.53654000
2020-11-25,0.63022000
2020-11-24,0.69400000
2020-11-23,0.61579000
2020-11-22,0.44611000
2020-11-21,0.46283000
2020-11-20,0.32991000
2020-11-19,0.30358000
2020-11-18,0.29335000
2020-11-17,0.30247000
2020-11-16,0.28813000
2020-11-15,0.26954000
2020-11-14,0.26824000
2020-11-13,0.26590000
2020-11-12,0.25490000
2020-11-11,0.25581000
2020-11-10,0.25380000
2020-11-09,0.25059000
2020-11-08,0.25374000
2020-11-07,0.24910000
2020-11-06,0.25863000
2020-11-05,0.24561000
2020-11-04,0.23758000
2020-11-03,0.23960000
2020-11-02,0.23523000
2020-11-01,0.23999000
2020-10-31,0.23968000
2020-10-30,0.23905000
2020-10-29,0.24239000
2020-10-28,0.24540000
2020-10-27,0.25273000
2020-10-26,0.24810000
2020-10-25,0.25313000
2020-10-24,0.25620000
2020-10-23,0.25471000
2020-10-22,0.25709000
2020-10-21,0.25088000
2020-10-20,0.24322000
2020-10-19,0.24558000
2020-10-18,0.24221000
2020-10-17,0.24057000
2020-10-16,0.24011000
2020-10-15,0.24596000
2020-10-14,0.24906000
2020-10-13,0.25650000
2020-10-12,0.25603000
2020-10-11,0.25544000
2020-10-10,0.25402000
2020-10-09,0.25293000
2020-10-08,0.25141000
2020-10-07,0.24870000
2020-10-06,0.24545000
2020-10-05,0.25030000
2020-10-04,0.24794000
2020-10-03,0.23273000
2020-10-02,0.23386000
2020-10-01,0.23819000
2020-09-30,0.24171000
2020-09-29,0.24285000
2020-09-28,0.24107000
2020-09-27,0.24334000
2020-09-26,0.24153000
2020-09-25,0.24154000
2020-09-24,0.23276000
2020-09-23,0.22164000
2020-09-22,0.23302000
2020-09-21,0.23102000
2020-09-20,0.24652000
2020-09-19,0.25112000
2020-09-18,0.25065000
2020-09-17,0.25214000
2020-09-16,0.24686000
2020-09-15,0.24331000
2020-09-14,0.24564000
2020-09-13,0.24218000
2020-09-12,0.24752000
2020-09-11,0.24252000
2020-09-10,0.24302000
2020-09-09,0.23901000
2020-09-08,0.23657000
2020-09-07,0.24198000
2020-09-06,0.23986000
2020-09-05,0.23738000
2020-09-04,0.25385000
2020-09-03,0.24409000
2020-09-02,0.27595000
2020-09-01,0.29521000
2020-08-31,0.28115000
2020-08-30,0.28302000
2020-08-29,0.27380000
2020-08-28,0.27174000
2020-08-27,0.26469000
2020-08-26,0.27653000
2020-08-25,0.27625000
2020-08-24,0.28840000
2020-08-23,0.28480000
2020-08-22,0.28592000
2020-08-21,0.27933000
2020-08-20,0.29218000
2020-08-19,0.28975000
2020-08-18,0.30251000
2020-08-17,0.31539000
2020-08-16,0.30455000
2020-08-15,0.29884000
2020-08-14,0.29995000
2020-08-13,0.29420000
2020-08-12,0.28233000
2020-08-11,0.28310000
2020-08-10,0.29469000
2020-08-09,0.28790000
2020-08-08,0.29527000
2020-08-07,0.29437000
2020-08-06,0.30311000
2020-08-05,0.30228000
2020-08-04,0.30138000
2020-08-03,0.31016000
2020-08-02,0.28803000
2020-08-01,0.29089000
2020-07-31,0.25939000
2020-07-30,0.24408000
2020-07-29,0.24327000
2020-07-28,0.23029000
2020-07-27,0.22437000
2020-07-26,0.21532000
2020-07-25,0.21463000
2020-07-24,0.20392000
2020-07-23,0.20851000
2020-07-22,0.20348000
2020-07-21,0.19949000
2020-07-20,0.19465000
2020-07-19,0.19956000
2020-07-18,0.19990000
2020-07-17,0.19440000
2020-07-16,0.19444000
2020-07-15,0.19721000
2020-07-14,0.19909000
2020-07-13,0.19867000
2020-07-12,0.20128000
2020-07-11,0.20110000
2020-07-10,0.19909000
2020-07-09,0.20263000
2020-07-08,0.20551000
2020-07-07,0.18508000
2020-07-06,0.18875000
2020-07-05,0.17695000
2020-07-04,0.17808000
2020-07-03,0.17620000
2020-07-02,0.17477000
2020-07-01,0.17647000
2020-06-30,0.17533000
2020-06-29,0.17726000
2020-06-28,0.17693000
2020-06-27,0.17509000
2020-06-26,0.18249000
2020-06-25,0.18156000
2020-06-24,0.18348000
2020-06-23,0.18889000
2020-06-22,0.18928000
2020-06-21,0.18602000
2020-06-20,0.18792000
2020-06-19,0.18722000
2020-06-18,0.18975000
2020-06-17,0.19315000
2020-06-16,0.19238000
2020-06-15,0.19238000
2020-06-14,0.19022000
2020-06-13,0.19234000
2020-06-12,0.19307000
2020-06-11,0.18817000
2020-06-10,0.20266000
2020-06-09,0.20127000
2020-06-08,0.20403000
2020-06-07,0.20329000
2020-06-06,0.20361000
2020-06-05,0.20274000
2020-06-04,0.20427000
2020-06-03,0.20410000
2020-06-02,0.20301000
2020-06-01,0.21100000
2020-05-31,0.20245000
2020-05-30,0.20701000
2020-05-29,0.19759000
2020-05-28,0.20052000
2020-05-27,0.19791000
2020-05-26,0.19372000
2020-05-25,0.19622000
2020-05-24,0.19256000
2020-05-23,0.19883000
2020-05-22,0.20034000
2020-05-21,0.19434000
2020-05-20,0.20179000
2020-05-19,0.20496000
2020-05-18,0.20543000
2020-05-17,0.20131000
2020-05-16,0.19969000
2020-05-15,0.19818000
2020-05-14,0.20386000
2020-05-13,0.20177000
2020-05-12,0.19711000
2020-05-11,0.19254000
2020-05-10,0.19702000
2020-05-09,0.21642000
2020-05-08,0.21865000
2020-05-07,0.21862000
2020-05-06,0.21158000
2020-05-05,0.21688000
2020-05-04,0.21776000
2020-05-03,0.21936000
2020-05-02,0.22369000
2020-05-01,0.21786000
2020-04-30,0.21135000
2020-04-29,0.22648000
2020-04-28,0.21416000
