,Date,BTC,ETH,LTC,XRP
0,2021-06-15,40624.02000000,2606.83000000,179.82000000,0.89870000
1,2021-06-14,40516.29000000,2580.77000000,179.89000000,0.89060000
2,2021-06-13,39020.57000000,2509.33000000,170.85000000,0.88320000
3,2021-06-12,35546.11000000,2370.74000000,161.80000000,0.83260000
4,2021-06-11,37331.98000000,2354.01000000,162.83000000,0.84710000
5,2021-06-10,36675.72000000,2471.09000000,168.16000000,0.86860000
6,2021-06-09,37388.05000000,2610.18000000,172.56000000,0.92180000
7,2021-06-08,33380.81000000,2507.23000000,160.63000000,0.87310000
8,2021-06-07,33552.79000000,2592.05000000,161.95000000,0.86180000
9,2021-06-06,35796.31000000,2711.92000000,176.41000000,0.94700000
10,2021-06-05,35513.20000000,2627.73000000,172.94000000,0.92300000
11,2021-06-04,36829.00000000,2689.51000000,178.44000000,0.96830000
12,2021-06-03,39246.79000000,2857.25000000,193.50000000,1.04500000
13,2021-06-02,37568.68000000,2706.22000000,187.14000000,1.02410000
14,2021-06-01,36693.09000000,2634.57000000,182.99000000,1.01080000
15,2021-05-31,37253.81000000,2706.15000000,187.97000000,1.04090000
16,2021-05-30,35641.27000000,2385.98000000,170.51000000,0.90580000
17,2021-05-29,34605.15000000,2278.74000000,164.01000000,0.83180000
18,2021-05-28,35663.49000000,2412.10000000,177.33000000,0.89850000
19,2021-05-27,38529.98000000,2742.23000000,194.32000000,0.97470000
20,2021-05-26,39241.91000000,2884.94000000,198.91000000,1.03160000
21,2021-05-25,38324.72000000,2705.11000000,183.76000000,0.97460000
22,2021-05-24,38796.29000000,2648.43000000,185.32000000,0.99300000
23,2021-05-23,34655.25000000,2096.39000000,142.39000000,0.78980000
24,2021-05-22,37449.73000000,2294.87000000,169.32000000,0.90520000
25,2021-05-21,37252.01000000,2430.98000000,179.97000000,1.00620000
26,2021-05-20,40526.64000000,2768.62000000,210.74000000,1.17950000
27,2021-05-19,36690.09000000,2438.92000000,185.93000000,1.05680000
28,2021-05-18,42849.78000000,3375.07000000,293.98000000,1.58890000
29,2021-05-17,43538.04000000,3282.51000000,281.53000000,1.49460000
30,2021-05-16,46431.50000000,3582.10000000,295.89000000,1.44960000
31,2021-05-15,46762.99000000,3646.68000000,300.30000000,1.49040000
32,2021-05-14,49841.45000000,4075.01000000,326.23000000,1.40000000
33,2021-05-13,49670.97000000,3717.91000000,317.95000000,1.36400000
34,2021-05-12,49631.32000000,3823.21000000,310.40000000,1.26910000
35,2021-05-11,56670.02000000,4173.45000000,377.60000000,1.47860000
36,2021-05-10,55816.14000000,3945.88000000,358.89000000,1.39060000
37,2021-05-09,58240.84000000,3923.95000000,387.80000000,1.53450000
38,2021-05-08,58862.05000000,3910.26000000,347.10000000,1.56110000
39,2021-05-07,57314.75000000,3479.53000000,344.89000000,1.57930000
40,2021-05-06,56393.68000000,3489.73000000,354.67000000,1.60280000
41,2021-05-05,57436.11000000,3524.26000000,356.04000000,1.61330000
42,2021-05-04,53200.01000000,3239.01000000,305.23000000,1.38770000
43,2021-05-03,57169.39000000,3431.04000000,294.87000000,1.55460000
44,2021-05-02,56578.21000000,2949.56000000,268.88000000,1.56050000
45,2021-05-01,57800.37000000,2944.77000000,276.78000000,1.65100000
46,2021-04-30,57694.27000000,2772.42000000,271.13000000,1.59880000
47,2021-04-29,53555.00000000,2757.04000000,255.31000000,1.39780000
48,2021-04-28,54846.22000000,2748.24000000,258.51000000,1.35760000
49,2021-04-27,55011.97000000,2666.13000000,259.77000000,1.40170000
50,2021-04-26,54001.39000000,2532.60000000,247.42000000,1.36290000
51,2021-04-25,49066.77000000,2320.49000000,223.88000000,1.03510000
52,2021-04-24,50047.84000000,2213.35000000,224.75000000,1.04833000
53,2021-04-23,51125.14000000,2367.39000000,241.31000000,1.17073000
54,2021-04-22,51690.96000000,2397.94000000,252.50000000,1.15489000
55,2021-04-21,53787.63000000,2357.06000000,257.69000000,1.29097000
56,2021-04-20,56425.00000000,2330.03000000,260.68000000,1.38501000
57,2021-04-19,55633.14000000,2161.12000000,261.38000000,1.30945000
58,2021-04-18,56150.01000000,2235.64000000,273.36000000,1.40797000
59,2021-04-17,60006.66000000,2317.60000000,300.86000000,1.53896000
60,2021-04-16,61334.80000000,2422.67000000,308.43000000,1.54805000
61,2021-04-15,63159.98000000,2514.04000000,285.63000000,1.75781000
62,2021-04-14,62959.53000000,2432.60000000,278.86000000,1.83468000
63,2021-04-13,63575.00000000,2299.19000000,267.59000000,1.79611000
64,2021-04-12,59860.00000000,2137.69000000,244.42000000,1.46843000
65,2021-04-11,60002.43000000,2151.36000000,252.31000000,1.35118000
66,2021-04-10,59769.13000000,2133.49000000,256.34000000,1.37280000
67,2021-04-09,58142.54000000,2066.87000000,221.12000000,1.01721000
68,2021-04-08,58077.52000000,2080.46000000,226.11000000,1.05599000
69,2021-04-07,55953.45000000,1963.47000000,219.05000000,0.91542000
70,2021-04-06,57991.15000000,2112.21000000,237.04000000,1.09663000
71,2021-04-05,59129.99000000,2107.38000000,221.48000000,0.91584000
72,2021-04-04,58202.01000000,2075.69000000,202.21000000,0.63500000
73,2021-04-03,57051.94000000,2008.52000000,195.23000000,0.57831000
74,2021-04-02,58950.01000000,2133.69000000,211.46000000,0.60701000
75,2021-04-01,58720.44000000,1968.05000000,202.86000000,0.57087000
76,2021-03-31,58740.55000000,1919.37000000,196.70000000,0.56982000
77,2021-03-30,58746.57000000,1840.46000000,195.74000000,0.56210000
78,2021-03-29,57635.47000000,1816.74000000,193.73000000,0.56538000
79,2021-03-28,55777.63000000,1687.01000000,184.24000000,0.54552000
80,2021-03-27,55817.14000000,1712.63000000,184.06000000,0.54752000
81,2021-03-26,55025.59000000,1698.84000000,183.45000000,0.56357000
82,2021-03-25,51293.78000000,1585.74000000,171.53000000,0.51058000
83,2021-03-24,52303.65000000,1581.84000000,176.05000000,0.48021000
84,2021-03-23,54340.89000000,1668.08000000,185.83000000,0.54980000
85,2021-03-22,54083.25000000,1680.97000000,185.67000000,0.54410000
86,2021-03-21,57351.56000000,1782.98000000,195.31000000,0.51651000
87,2021-03-20,58102.28000000,1806.10000000,200.17000000,0.52613000
88,2021-03-19,58030.01000000,1809.10000000,199.96000000,0.46651000
89,2021-03-18,57648.16000000,1776.08000000,199.70000000,0.46893000
90,2021-03-17,58912.97000000,1823.58000000,205.98000000,0.46980000
91,2021-03-16,56900.75000000,1805.12000000,201.60000000,0.46024000
92,2021-03-15,55605.20000000,1793.48000000,200.59000000,0.43574000
93,2021-03-14,58968.31000000,1848.10000000,213.94000000,0.43905000
94,2021-03-13,61188.39000000,1922.35000000,226.06000000,0.45787000
95,2021-03-12,57221.72000000,1766.10000000,220.84000000,0.43934000
96,2021-03-11,57773.16000000,1825.78000000,201.36000000,0.45187000
97,2021-03-10,55851.59000000,1795.12000000,200.29000000,0.46155000
98,2021-03-09,54884.50000000,1870.51000000,203.81000000,0.48490000
99,2021-03-08,52375.17000000,1833.18000000,191.85000000,0.47412000
100,2021-03-07,50971.75000000,1726.16000000,190.75000000,0.46558000
101,2021-03-06,48882.20000000,1650.35000000,182.85000000,0.46285000
102,2021-03-05,48751.71000000,1528.31000000,180.23000000,0.45457000
103,2021-03-04,48374.09000000,1539.23000000,180.67000000,0.48096000
104,2021-03-03,50349.37000000,1567.69000000,187.64000000,0.44846000
105,2021-03-02,48440.65000000,1486.78000000,179.08000000,0.43570000
106,2021-03-01,49587.03000000,1569.86000000,175.89000000,0.44537000
107,2021-02-28,45135.66000000,1419.18000000,165.22000000,0.41565000
108,2021-02-27,46106.43000000,1458.13000000,171.76000000,0.43589000
109,2021-02-26,46276.87000000,1444.59000000,170.25000000,0.42788000
110,2021-02-25,47073.73000000,1481.75000000,179.36000000,0.43601000
111,2021-02-24,49676.20000000,1623.39000000,181.43000000,0.46860000
112,2021-02-23,48891.00000000,1577.89000000,177.34000000,0.47579000
113,2021-02-22,54087.67000000,1777.58000000,208.32000000,0.56646000
114,2021-02-21,57408.57000000,1933.53000000,227.13000000,0.54468000
115,2021-02-20,55841.19000000,1913.00000000,226.65000000,0.51167000
116,2021-02-19,55906.00000000,1955.00000000,236.50000000,0.56465000
117,2021-02-18,51552.60000000,1939.61000000,226.59000000,0.53204000
118,2021-02-17,52119.71000000,1849.88000000,237.49000000,0.53467000
119,2021-02-16,49133.45000000,1781.99000000,210.26000000,0.51995000
120,2021-02-15,47911.10000000,1779.25000000,207.83000000,0.54976000
121,2021-02-14,48577.79000000,1800.42000000,213.49000000,0.59211000
122,2021-02-13,47153.69000000,1814.96000000,225.76000000,0.63309000
123,2021-02-12,47287.60000000,1840.26000000,196.69000000,0.60900000
